Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.87084354,-40.74465636,-6.638470109,7.950115708,9.103388041,7.507273417,4.479644121,8.141848534,3.957818435,6.570086565,10.27940312,13.82346307,14.60582159,11.13422934,14.64320764,14.07860742,14.69586826,7.819138194,-13.51939082,2.582897383,4.7283176,6.913698623,2.823926169,3.073178678,2.735918024,-0.161329865,7.18452239,4.952230836
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256153661,0.091870463,-0.19579254,-3.371501219,3.146660118,-1.172397267,-2.788560506,1.356786303,0.590081607,-4.187040198,-2.583995908,1.627844464,3.121880892,-1.561204901,-6.783548017,2.959910556
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,4.592267301,8.236766985,8.313546742,3.935887114,-0.069456681,5.365721772,10.15608026,7.642051366,11.54979755,6.697207748,5.136609192,4.82961566,2.145225601,0.838154597,-0.561528048,3.170343763,4.41621052,-6.408268751,4.319731218,3.219707934,2.568387808,1.686906765,4.340850519,-6.037663834,-0.373817347,4.721680697,4.403260934,5.016485291,11.00080029,7.605968396,-1.612584381,-13.33182584,-9.187966715,-3.298786215,2.049933173,-1.798966587,2.616052309,2.705718436,4.437253324,2.166114044,5.932276282
Australia,,0.464272842,-1.147839267,4.197349944,4.899706016,3.924185694,0.070880626,4.970237126,3.257317231,4.826364414,5.084881235,0.542875961,2.01650232,1.062265093,1.503391897,0.095665032,1.567825939,2.432260268,-0.272382969,2.932417499,1.787080391,1.711915143,1.61420797,-3.437117057,3.41834534,3.82274904,2.339808854,0.999993493,4.027570563,2.121259301,2.051929049,-1.656572679,-0.797268925,3.020731144,2.88563586,2.587043225,2.498884691,2.752320276,3.529349171,3.744590752,2.680864996,0.671692882,2.7526795,1.845765496,3.004314914,1.807784024,1.222561054,3.122288586,1.521969537,-0.21120115,0.595353727,1.055747877,2.118897029,0.849416993,1.044489641,0.712256478,1.149347464,0.587161103,1.302840712
Austria,,4.960717183,2.021469667,3.471466159,5.419336014,2.810012786,4.904479004,2.241009758,3.931241829,5.909495926,5.950496618,4.646942731,5.592381531,4.310905781,3.765373032,-0.099030082,4.763369869,5.039647613,-0.129830488,5.536447933,1.731377792,-0.398620518,1.938121505,3.13962808,0.057573093,2.450565671,2.236402355,1.293045279,3.149746508,3.420101785,3.553547647,2.413986454,0.97609224,-0.298754361,2.008761944,2.510912694,2.211434933,1.977975908,3.467829941,3.355044661,3.12743665,0.880259098,1.152676331,0.450946527,2.099711169,1.549877317,2.943417859,3.391730827,1.143307119,-4.016340042,1.592577128,2.576448318,0.222450577,-0.562298943,-0.122370667,-0.11154019,0.89246914,1.550724086,2.003552524
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.01238311,-23.76120188,-24.25686475,-20.77555804,-12.81343006,0.280213949,4.784282218,8.960888302,6.461582378,10.19102962,9.051822301,8.625351139,9.37646097,8.301538012,26.66009473,33.03048777,23.59068556,8.457450219,7.050602254,3.806491073,-1.195843098,0.816684084,4.4500202,1.475937152,-0.103121434,-4.177171798,-0.778416066,0.624486168
Burundi,,-15.3945344,7.004353182,2.129712125,4.100164138,1.679621275,2.101420009,10.92739627,-2.799153603,-3.68149433,19.05331001,1.264421916,-7.443715479,5.837540592,-1.851440325,-0.783647374,5.939140625,9.052459524,-3.318896726,-0.894085329,-1.585332484,9.291867113,-3.611162227,0.998415566,-2.522266145,8.730598517,0.378526264,2.556606694,2.154443569,-1.292883845,0.990041952,2.620195926,-1.133402274,-8.05898851,-5.475121869,-9.274659565,-9.109232669,-2.586938677,3.675771113,-2.298375017,-2.593559293,-0.238106,1.664464582,-4.155108941,1.562578136,-2.294461494,2.046914102,0.104847755,1.456551173,0.455731439,1.756244616,0.74848923,1.198012892,1.687375305,1.021626356,-6.886404541,-3.708334877,-2.646778209,-1.557543455
Belgium,,4.630257134,4.794034518,3.574353541,5.949139356,2.624444661,2.461462453,3.291575742,3.785044364,6.328283647,5.478790451,3.79648857,4.88408824,6.047488699,4.236777496,-2.248829646,5.464140019,0.501978717,2.74598979,2.249127516,4.329008275,-0.276653455,0.62232907,0.319812264,2.467921562,1.621518975,1.786469656,2.219478116,4.39079501,3.093999126,2.830267975,1.455371726,1.11956586,-1.34799971,2.909318769,2.170550274,1.123669018,3.542789064,1.744323895,3.305706514,3.465452571,0.75248291,1.251984606,0.61587978,3.123928918,1.760455594,1.8781832,2.918338349,-0.343452718,-2.80592074,1.928764196,0.38003457,0.116402578,-0.013148386,1.128595725,1.451893368,0.755268919,1.228866236,1.356791445
Benin,,1.708767903,-4.855279325,3.083952909,4.873343386,3.437873008,1.652833258,-0.885627254,1.748815156,0.745753986,-0.064591636,-3.622623094,4.083951925,1.37077229,0.948842471,-7.160089426,-1.587200672,2.345622174,-1.344962747,3.750964407,3.948104864,6.990601849,-0.565434054,-7.004885535,4.895131602,4.472102001,-0.751722857,-4.339896789,0.360696738,-5.820441979,5.50734312,0.764617727,-0.562694983,2.195265515,-1.415633049,2.609386016,1.093696542,2.580781527,0.930187377,2.277568131,2.745725782,2.195763603,1.506465248,0.346606024,1.337933772,-1.245889709,0.975162118,3.004154076,1.976221564,-0.515289133,-0.711405268,0.116989314,1.919536798,4.24138004,3.439491778,-1.004234539,0.525130743,2.805281504,3.818783343
Burkina Faso,,2.656039312,4.722086108,-2.593191573,0.856967447,2.240964043,-1.020957475,7.058177699,1.344324637,0.288923278,-1.599244081,-0.337063148,0.523586256,-1.334541611,6.322369163,1.082039021,6.468037137,-1.58877893,2.495316589,1.476302654,-1.436586905,1.832503543,6.912886323,-2.150748562,-4.260939308,5.755685941,5.195035547,-2.802603121,3.057962331,-0.51075601,-3.211259863,6.188961341,-2.43047007,0.695587052,-1.410829728,2.852924336,7.987483712,3.397953189,4.341787837,4.40665135,-0.966443019,3.608687569,1.39456834,4.722709597,1.464089377,5.493492362,3.124248282,1.022406824,2.647568317,-0.107459606,5.220991699,3.462030917,3.309202511,2.684768015,1.28212747,0.911075763,2.913665585,3.177360753,3.591634808
Bangladesh,,3.159069738,2.566304335,-3.220631195,7.773964948,-1.408613484,-0.613925241,-4.99506431,6.102955484,-1.623466937,3.066655727,-7.353329683,-15.38637938,1.779962568,7.830823937,-5.900720627,3.322472596,0.141704802,4.254809751,1.991289832,-1.8525797,4.443156185,-0.499724165,1.215529046,2.107809332,0.669033044,1.464275891,1.078532439,-0.207289569,0.274084213,3.086982001,1.106647184,3.11421545,2.465582465,1.690416545,2.901244279,2.319635126,2.306676748,3.014682995,2.574208258,3.257496507,3.113805997,1.960394887,2.941850091,3.55335866,4.965840614,5.24454106,5.753407226,4.806176198,3.878500674,4.390962886,5.253547153,5.29926033,4.79519609,4.85575647,5.366866159,5.946678284,6.136478312,6.733298633
Bulgaria,,,,,,,,,,,,,,,,,,,,,,4.551144229,2.032294165,3.172520881,3.154807367,2.684953395,4.235241269,5.898612494,10.82009085,-2.151690705,-7.463207655,-7.534068829,-6.271263897,-0.691213461,2.164358731,3.314187644,5.749368903,-13.59092295,4.484025658,-7.881073101,5.10505562,5.911159599,8.195215514,6.074062384,7.317405526,7.865500223,7.616849629,7.37801683,6.863490701,-2.646640961,2.212431063,2.758011774,1.340217109,-0.00242338,1.542387921,4.090107686,3.765068555,3.515538335,3.428724777
Bahrain,,,,,,,,,,,,,,,,,,,,,,-8.916292706,-10.39046767,3.559536374,2.223543962,-7.527451604,-2.096575208,6.587008732,3.269926463,-2.94953367,1.311556176,8.21120367,3.973195307,10.10620581,-2.678094208,1.328874776,1.41793248,0.274316596,1.584987362,0.557068624,0.85269044,-2.348922626,-1.935982917,0.349253322,0.3884213,-0.353001993,-1.227455489,0.19212071,-1.258466559,-3.554145384,-0.356550281,-0.991765171,1.989467972,4.207418678,2.70680579,-0.187595037,-0.359639348,-0.475473382,-2.767804861
"Bahamas, The",,5.296158893,5.003803324,5.101137842,5.241162017,5.41521047,4.362002824,5.117130054,4.302846408,5.255062276,-8.496715463,-1.01388464,-5.650785913,5.401035119,-18.36693178,-16.51252122,2.999722737,6.830610407,11.6962479,23.37819415,4.17006405,-11.22129016,4.343285844,1.335907392,11.77860625,2.744027758,-0.094391614,1.187428581,0.578987493,4.90980498,-3.320245534,-5.936569399,-5.640773427,-1.556139332,1.360022376,2.765640485,2.828525005,5.617537681,-5.567333228,10.87623677,2.757758765,1.074343535,1.02250922,-2.988092112,-0.942616316,1.499854312,0.601739307,-0.464110317,-4.112026117,-5.798457819,0.011888723,-0.686873073,1.953317899,-4.524239256,1.332399988,0.619177352,-0.894872291,0.606496418,1.731469038
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.19074604,92.20181461,35.40931138,15.6536124,9.336053464,12.5302994,2.305003845,4.919186896,3.790111807,6.268349492,3.865777043,5.411483997,5.931143235,5.683408378,-2.528921524,1.695002033,2.181253882,0.724336969,4.15191548,2.911120618,4.674687895,4.462656369,4.240509741,4.601625193
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.245567018,-9.798383809,-7.803769961,-11.59557512,-10.1088528,3.146686066,11.8639522,8.889364506,3.866378654,6.299636448,5.263892131,5.716082411,7.794917912,12.21261832,10.14976717,10.6755868,9.099459979,10.58130499,0.446705796,8.034088134,5.625881186,1.846520268,1.042243413,1.669279929,-3.957251254,-2.611913805,2.644807522,3.369991519
Belize,,1.977002946,1.993327598,2.050786593,2.04147679,1.913738469,1.677964694,1.786403609,4.260870026,2.282834518,2.30724792,1.784369158,8.175201551,3.606540443,11.82075871,2.069994998,-1.423927003,5.060728825,6.3793587,5.746401784,11.2016623,-1.21687045,-2.688664585,-4.864983705,-0.903155324,-1.790905216,1.672110837,7.709239137,6.911520301,10.26946926,9.017296211,9.375135437,10.21994147,4.500618756,-1.854887933,-1.924607036,-1.750575826,-0.154121003,-0.167191776,4.804663952,9.212347182,1.497699826,1.811010959,6.47638111,2.103835843,-0.674807736,2.112534896,-2.074775139,0.861932837,-2.277345824,0.508814503,-0.480053247,0.068796758,-0.96381635,1.782739875,0.487997242,-2.061066621,-0.184795031,0.946112739
Bermuda,,2.149274725,2.003969957,-1.260754717,8.383374233,2.250778443,12.34545455,11.0966736,0.178748759,1.520936744,4.379341589,4.195283883,2.564073979,2.238205024,1.632827387,4.551271534,8.529004074,5.500816287,1.074229338,1.768239125,6.226141898,1.674235543,-5.966959639,1.131648138,-0.396562989,-2.821585923,5.76696525,2.912453111,3.16809012,-0.399432874,-0.79846154,-3.035881338,0.666851964,2.457765924,-0.095697515,3.654763146,1.946947479,3.963724659,3.139627286,2.805721748,8.348324206,6.071369138,-2.116731681,2.736271274,1.655071335,1.018079897,4.940272519,2.763815335,-2.444780256,-6.148629405,-1.736363236,-2.907850829,-5.647262748,-0.591137895,-3.903606108,0.622598427,0.3938692,4.716102205,-0.504455912
Bolivia,,0.118310324,3.523361072,4.699908729,1.892887784,2.806634814,4.995939039,4.140545832,6.285906647,2.290809658,3.007286545,2.821894512,5.646908954,3.451921012,0.70125071,4.969745182,2.322275417,2.666397831,-0.175360696,-2.019983346,-3.448985091,-1.786639271,-5.87581223,-5.958231488,-2.20047831,-3.670621542,-4.576234675,0.337258183,0.75923794,1.615856557,2.445135201,3.065292456,-0.475045194,2.1028796,2.509455368,2.542198796,2.256023764,2.862582939,2.962844994,-1.522826283,0.544854523,-0.235740274,0.579784521,0.831475281,2.298390878,2.574925411,2.977253409,2.78136714,4.368494273,1.649164361,2.429302312,3.511073964,3.453658407,5.127593123,3.843749862,3.282698937,2.731976347,2.696155231,2.752163462
Brazil,,5.484104202,3.53078612,-2.284082222,0.476589203,-0.435883258,3.80769067,1.431167626,6.943742335,6.71425587,7.652969465,8.636343437,9.276384667,11.29378827,5.626678342,2.704614898,7.671462881,2.475416157,2.511841445,4.262383419,6.652537082,-6.478748341,-1.503862862,-5.142491134,3.063433053,5.545479223,5.283653714,1.485222405,-1.963714376,1.255962856,-6.067117854,-0.729838955,-2.227708537,3.192299359,4.137508785,2.559523387,0.597763256,1.790603436,-1.184364771,-1.009137303,2.911826435,0.013370861,1.709470966,-0.122933724,4.497077063,2.026304229,2.834758484,4.974701896,4.054410664,-1.081942369,6.524370056,3.026401969,1.014540821,2.108885848,-0.352483145,-4.351475066,-4.069410924,0.50833798,0.988960033
